,Skill/Functionality/Task,CollisionCheck,CollisionFreeNavigation,ARTagCounting,ARTagRecognition,FaceRecognition,ObjectManipulation,EnvironmentExploration,ObjectRecognition,SLAM,VisualSLAM,Localization,Knowledge,WorldKnowledge,SelfKnowledge,Movement,BaseMvt,JointMvt,BodyPartMvt,ArmMvt,LegMvt,HeadMvt,Manipulation,Learning/Acquisition,VerbalInteraction,Navigation,InformationManagement,Perception,Smell,Facial,Taste,Social,Social_Touch,Touch
Attaching,X,X,,,,,X,,X,,,,X,X,X,X,,,X,X,,,X,X,,,X,,,,,,,
Being_in_category,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,X,,,,,,,
Being_located,,,,,,,,,,,,,X,X,,,,,,,,,,X,,,X,,,,,,,
Bringing:Person:Place,X,X,X,,,,,X,,,,X,X,X,X,X,X,,,,,,,,,X,X,X,,X,,,,
Bringing:Object:Place,X,X,X,,,,X,X,X,,,X,X,X,X,X,X,,X,X,,,X,,,X,X,X,,,,,,
Change_operational_state,X,X,,,,,X,,X,,,,X,X,X,X,,,X,X,,,X,X,,,X,,,,,,,
Closure,X,X,,,,,X,,X,,,X,X,X,X,X,,,X,X,,,X,X,,,X,,,,,,,
Entering,X,X,X,,,,,,,,,X,X,X,,X,X,,,,,,,,,X,X,,,,,,,
Following,X,X,,,,,,,,,,X,X,X,,X,X,,,,,,,X,,,X,X,,X,,,,
Giving,X,X,,,,,X,X,X,,,X,X,X,X,X,X,,X,X,,,X,X,,X,X,X,,X,,,,
Inspecting,X,X,X,X,X,,,X,X,,,X,X,X,X,X,X,,,,,,,X,,X,X,,,,,,,
Motion,X,X,X,,,,,X,,,,X,X,X,X,X,X,,,,,,,,,X,X,,,,,,,
Perception_active,,,,,,,,,,,,,X,X,,,X,,,X,,X,,,,,,X,,X,,,,
Placing,X,X,,,,,X,,X,,,X,X,X,X,X,X,,X,X,,,X,X,,,X,,,,,,,
Releasing,X,X,,,,,X,,X,,,X,X,X,X,X,X,,X,X,,,X,X,,,X,,,,,,,
Searching,X,X,X,,,,,X,,,,X,X,X,,X,X,,,,,,,X,,X,X,,,,,,,
Taking,X,X,X,,,,X,X,X,,,X,X,X,X,X,X,,X,X,,,X,,,X,,,,,,,,