,RobotKnowledge,Representation,Localization,RobotPosition,RobotSpeed,ComputationalCapability,Movement,TranslationalMovement,BodyPartMovement,Manipulation,ObjectManipulation,Sensing,Battery,ARTagCounting,Vision,MagneticField,Light,Temp,Depth,GPS,Humidity,Time,Perception,Recognition,VisualSLAM
Attaching:Goal,X,X,X,,,,X,X,X,X,X,X,,,X,,,,X,,,,X,X,
Being_in_category:Category:Item,X,X,,,,,,,,,,,,,,,,,,,,,,,
Being_located:Theme,X,X,,,,,,,,,,,,,,,,,,,,,,,
Being_located:Location:Theme,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Bringing:Agent:Beneficiary:Source:Theme,X,X,X,X,,,X,X,X,X,X,X,,,X,,,,X,,,,X,X,
Bringing:Agent:Beneficiary:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Agent:Goal:Source:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Agent:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Area:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Beneficiary:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Beneficiary:Theme:Source,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Goal:Manner:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Bringing:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Change_operational_state:Agent:Device,,,,,,,,,,,,,,,,,,,,,,,,,
Change_operational_state:Agent:Device:Operational_state,,,,,,,,,,,,,,,,,,,,,,,,,
Change_operational_state:Device,,,,,,,,,,,,,,,,,,,,,,,,,
Change_operational_state:Device:Operational_state,,,,,,,,,,,,,,,,,,,,,,,,,
Closure:Agent:Container_portal,,,,,,,,,,,,,,,,,,,,,,,,,
Closure:Agent:Container_portal:Degree,,,,,,,,,,,,,,,,,,,,,,,,,
Closure:Agent:Containing_object,,,,,,,,,,,,,,,,,,,,,,,,,
Closure:Container_portal,,,,,,,,,,,,,,,,,,,,,,,,,
Closure:Containing_object,,,,,,,,,,,,,,,,,,,,,,,,,
Entering:Goal,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Area:Cotheme,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Goal,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Manner,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Manner:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Theme:Manner,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Path,,,,,,,,,,,,,,,,,,,,,,,,,
Following:Cotheme:Speed,,,,,,,,,,,,,,,,,,,,,,,,,
Giving:Recipient:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Giving:Donor:Recipient:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Giving:Donor:Reason:Recipient:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Inspecting:Desired_state:Ground,,,,,,,,,,,,,,,,,,,,,,,,,
Inspecting:Desired_state:Ground:Inspector,,,,,,,,,,,,,,,,,,,,,,,,,
Inspecting:Ground,,,,,,,,,,,,,,,,,,,,,,,,,
Inspecting:Ground:Unwanted_entity,,,,,,,,,,,,,,,,,,,,,,,,,
Inspecting:Unwanted_entity,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Area:Distance:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Area:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Goal,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Goal:Manner,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Goal:Path,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Source,,,,,,,,,,,,,,,,,,,,,,,,,
Motion:Path,,,,,,,,,,,,,,,,,,,,,,,,,
Perception_active:Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,
Placing:Agent:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Placing:Area:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Placing:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Releasing:Goal:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Releasing:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Cognizer:Ground:Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Cognizer:Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Cognizer:Phenomenon:Purpose,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Ground:Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Ground:Phenomenon:Manner,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Manner:Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Phenomenon,,,,,,,,,,,,,,,,,,,,,,,,,
Searching:Phenomenon:Purpose,,,,,,,,,,,,,,,,,,,,,,,,,
Taking:Agent:Source:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Taking:Agent:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Taking:Purpose:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Taking:Source:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
Taking:Theme,,,,,,,,,,,,,,,,,,,,,,,,,
